title,print_issn,e_issn,field,ajg_2024
Labour,1121-7081,1467-9914,HRM&EMP,1
Management and Labour Studies ,0258-042X,2321-0710,HRM&EMP,1
Research in Personnel and Human Resources Management,0742-7301,,HRM&EMP,1
SA Journal of Human Resource Management,1683-7584,2071-078X,HRM&EMP,1
South Asian Journal of Human Resources Management,2322-0937,2349-5790,HRM&EMP,1
Team Performance Management,1352-7592,1352-7592,HRM&EMP,1
"Work Organisation, Labour and Globalisation",1745-641X,1745-6428,HRM&EMP,1
Journal of International Business Studies,0047-2506,1478-6990,IB&AREA,4*
Journal of World Business,1090-9516,1878-5573,IB&AREA,4
African Affairs,0001-9909,1468-2621,IB&AREA,3
Asia Pacific Journal of Management,0217-4561,1572-9958,IB&AREA,3
International Business Review,0969-5931,1873-6149,IB&AREA,3
Journal of Common Market Studies,0021-9886,1468-5965,IB&AREA,3
Journal of International Business Policy,2522-0691,2522-0705,IB&AREA,3
Journal of International Management,1075-4253,1873-0620,IB&AREA,3
Management and Organization Review,1740-8776,1740-8784,IB&AREA,3
Management International Review,0938-8249,1861-8901,IB&AREA,3
Multinational Business Review,1525-383X,2054-1686,IB&AREA,3
Asia Pacific Business Review,1360-2381,1743-792X,IB&AREA,2
Asian Business and Management,1472-4782,1476-9328,IB&AREA,2
China Quarterly,0305-7410,1468-2648,IB&AREA,2
Critical Perspectives on International Business,1742-2043,1758-6062,IB&AREA,2
Cross Cultural and Strategic Management,2059-5794,2059-5808,IB&AREA,2
Eurasian Geography and Economics,1538-7216,1938-2863,IB&AREA,2
EuroMed Journal of Business,1450-2194,1758-888X,IB&AREA,2
Europe-Asia Studies,0966-8136,1465-3427,IB&AREA,2
European Journal of International Management,1751-6757,1751-6765,IB&AREA,2
Journal of Business Economics and Management,1611-1699,2029-4433,IB&AREA,2
Journal of Latin American Studies,0022-216X,1469-767X,IB&AREA,2
Journal of Modern African Studies,0022-278X,1469-7777,IB&AREA,2
Journal of World Trade,1011-6702,2210-2795,IB&AREA,2
Review of African Political Economy,0305-6244,1740-1720,IB&AREA,2
Third World Quarterly,0143-6597,1360-2241,IB&AREA,2
Thunderbird International Business Review,1096-4762,1520-6874,IB&AREA,2
Academia Revista Latinoamericana de Administracion,1012-8255,2056-5127,IB&AREA,1
African Journal of Economic and Management Studies,2040-0705,2040-0713,IB&AREA,1
Asia Pacific Management Review,1029-3132,2589-8213,IB&AREA,1
Asia-Pacific Journal of Business Administration,1757-4323,1757-4331,IB&AREA,1
Chinese Management Studies,1750-614X,1750-6158,IB&AREA,1
Competitiveness Review,1059-5422,2051-3143,IB&AREA,1
Foreign Trade Review,0015-7325,0971-7625,IB&AREA,1
Global Business and Economics Review,1097-4954,1745-1329,IB&AREA,1
International Journal of Business and Emerging Markets,1753-6219,1753-6227,IB&AREA,1
International Journal of Cross Cultural Management,1470-5958,1741-2838,IB&AREA,1
International Journal of Emerging Markets,1746-8809,1746-8817,IB&AREA,1
International Journal of Export Marketing ,2059-089X,2059-0903,IB&AREA,1
International Journal of Indian Culture and Business Management,1753-0806,1753-0814,IB&AREA,1
International Trade Journal,0885-3908,1521-0545,IB&AREA,1
Journal for International Business and Entrepreneurship Development,1549-9324,1747-6763,IB&AREA,1
Journal of African Business,1522-8916,1522-9076,IB&AREA,1
Journal of Asia Business Studies,1558-7894,1559-2243,IB&AREA,1
Journal of Asia-Pacific Business,1059-9231,1528-6940,IB&AREA,1
Journal of Chinese Economic and Business Studies,1476-5284,1476-5292,IB&AREA,1
Journal of East European Management Studies,0949-6181,1862-0019,IB&AREA,1
Journal of East-West Business,1066-9868,1528-6959,IB&AREA,1
Journal of Transnational Management,1547-5778,1547-5786,IB&AREA,1
Latin American Business Review,1097-8526,1528-6932,IB&AREA,1
Management Research,1536-5433,1558-0946,IB&AREA,1
Review of International Business and Strategy,2059-6014,2059-6014,IB&AREA,1
Revista de Gestão,2177-8736,2177-8736,IB&AREA,1
South African Journal of Business Management,2078-5585,2078-5976,IB&AREA,1
South Asian Journal of Macroeconomics and Public Finance,2277-9787,2321-0273,IB&AREA,1
Transnational Corporations Review,1918-6444,1925-2099,IB&AREA,1
Information Systems Research,1047-7047,1526-5536,INFO MAN,4*
Journal of the Association for Information Systems,,1536-9323,INFO MAN,4*
MIS Quarterly: Management Information Systems,0276-7783,2162-9730,INFO MAN,4*
European Journal of Information Systems,0960-085X,1476-9344,INFO MAN,4
Information Systems Journal,1350-1917,1365-2575,INFO MAN,4
Journal of Information Technology,0268-3962,1466-4437,INFO MAN,4
Journal of Management Information Systems,0742-1222,1557-928X,INFO MAN,4
Journal of Strategic Information Systems,0963-8687,1873-1198,INFO MAN,4
Decision Support Systems,0167-9236,1873-5797,INFO MAN,3
Government Information Quarterly,0740-624X,1872-9517,INFO MAN,3
Information and Management,0378-7206,1872-7530,INFO MAN,3
Information and Organization,1471-7727,1873-7919,INFO MAN,3
Information Society,0197-2243,1087-6537,INFO MAN,3
Information Systems Frontiers,1387-3326,1572-9419,INFO MAN,3
Information Technology and People,0959-3845,1758-5813,INFO MAN,3
International Journal of Electronic Commerce,1086-4415,1557-9301,INFO MAN,3
Internet Research,1066-2243,1066-2243,INFO MAN,3
Journal of Computer-Mediated Communication,1083-6101,1083-6101,INFO MAN,3
Journal of the Association for Information Science and Technology (JASIST),2330-1635,2330-1643,INFO MAN,3
AIS Transactions on Human-Computer Interaction,,1944-3900,INFO MAN,2
Annual Review of Information Science and Technology,0066-4200,1550-8382,INFO MAN,2
Behaviour and Information Technology,0144-929X,1362-3001,INFO MAN,2
British Journal of Educational Technology,0007-1013,1467-8535,INFO MAN,2
Business & Information Systems Engineering,2363-7005,1867-0202,INFO MAN,2
Communications of the ACM,0001-0782,1557-7317,INFO MAN,2
Communications of the Association for Information Systems,1529-3181,,INFO MAN,2
Computer Journal,0010-4620,1460-2067,INFO MAN,2
Computer Supported Cooperative Work,0925-9724,1573-7551,INFO MAN,2
Computers in Human Behavior,0747-5632,1873-7692,INFO MAN,2
Electronic Commerce Research,1389-5753,1572-9362,INFO MAN,2
Electronic Commerce Research and Applications,1567-4223,1873-7846,INFO MAN,2
Enterprise Information Systems,1751-7575,1751-7583,INFO MAN,2
Expert Systems,0266-4720,1468-0394,INFO MAN,2
Health Information and Libraries Journal,1471-1834,1471-1842,INFO MAN,2
Health Systems,2047-6965,2047-6973,INFO MAN,2
Industrial Management and Data Systems,0263-5577,1758-5783,INFO MAN,2
Information Processing and Management,0306-4573,1873-5371,INFO MAN,2
Information Systems and e-Business Management,1617-9846,1617-9854,INFO MAN,2
Information Systems Management,1058-0530,1934-8703,INFO MAN,2
Information Technology for Development,0268-1102,1554-0170,INFO MAN,2
Interacting with Computers,0953-5438,1873-7951,INFO MAN,2
International Journal of Human Computer Studies,1071-5819,1095-9300,INFO MAN,2
International Journal of Information Management,0268-4012,1873-4707,INFO MAN,2
Journal of Computer Information Systems,0887-4417,2380-2057,INFO MAN,2
Journal of Documentation,0022-0418,1758-7379,INFO MAN,2
Journal of Enterprise Information Management,1741-0398,1758-7409,INFO MAN,2
Journal of Global Information Management,1062-7375,1533-7995,INFO MAN,2
Journal of Global Information Technology Management,1097-198X,2333-6846,INFO MAN,2
Journal of Information Science,0165-5515,1741-6485,INFO MAN,2
Journal of Systems and Software,0164-1212,1873-1228,INFO MAN,2
MIS Quarterly Executive,1540-1960,1540-1979,INFO MAN,2
Pacific Asia Journal of the Association for Information Systems,1943-7536,1943-7544,INFO MAN,2
Requirements Engineering,0947-3602,1432-010X,INFO MAN,2
Scandinavian Journal of Information Systems,0905-0167,1901-0990,INFO MAN,2
The Data Base for Advances in Information Systems,0095-0033,1532-0936,INFO MAN,2
Aslib Journal of Information Management,2050-3806,2050-3814,INFO MAN,1
Australasian Journal of Information Systems,1449-8618,1326-2238,INFO MAN,1
e-Service Journal,1528-8226,1528-8234,INFO MAN,1
Ethics and Information Technology,1388-1957,1572-8439,INFO MAN,1
Expert Systems with Applications,0957-4174,1873-6793,INFO MAN,1
Foundations and Trends® in Information Systems,2331-1231,2331-124X,INFO MAN,1
Human-Computer Interaction,0737-0024,1532-7051,INFO MAN,1
Information and Computer Security,2056-4961,2056-497X,INFO MAN,1
Information Research,,1368-1613,INFO MAN,1
Information Resources Management Journal,1040-1628,1533-7979,INFO MAN,1
Information Technology & Tourism,1098-3058,1943-4294,INFO MAN,1
Information Technology and Management,1385-951X,1573-7667,INFO MAN,1
International Journal of Business and Systems Research,1751-200X,1751-2018,INFO MAN,1
International Journal of Business Information Systems,1746-0972,1746-0980,INFO MAN,1
International Journal of Business Process Integration and Management,1741-8763,1741-8771,INFO MAN,1
International Journal of Data Analysis Techniques and Strategies,1755-8050,1755-8069,INFO MAN,1
"International Journal of Digital Strategy, Governance, and Business Transformation",2643-8054,2643-8062,INFO MAN,1
International Journal of e-Business Research,1548-1131,1548-114X,INFO MAN,1
International Journal of Electronic Business,1470-6067,1741-5063,INFO MAN,1
International Journal of Enterprise Information Systems,1548-1115,1548-1123,INFO MAN,1
International Journal of Information Systems and Change Management,1479-3121,1479-313X,INFO MAN,1
International Journal of Information Systems in the Service Sector,1935-5688,1935-5696,INFO MAN,1
International Journal of Information Technology and Management,1461-4111,1741-5179,INFO MAN,1
International Journal of Knowledge Management,1548-0666,1548-0658,INFO MAN,1
International Journal of Services Economics and Management,1753-0822,1753-0830,INFO MAN,1
International Journal of Web Information Systems,1744-0084,1744-0092,INFO MAN,1
Journal of Database Management,1063-8016,1533-8010,INFO MAN,1
Journal of Decision Systems,1246-0125,2116-7052,INFO MAN,1
Journal of Electronic Commerce in Organizations,1539-2937,1539-2929,INFO MAN,1
Journal of Electronic Commerce Research,1938-9027,1526-6133,INFO MAN,1
Journal of Emerging Technologies in Accounting,1554-1908,1558-7940,INFO MAN,1
Journal of Information Systems Education,1055-3096,2574-3872,INFO MAN,1
Journal of Information Technology Case and Application Research,1522-8053,2333-6897,INFO MAN,1
Journal of Information Technology Management,2008-5893,2423-5059,INFO MAN,1
Journal of Information Technology Teaching Cases,2043-8869,2043-8869,INFO MAN,1
Journal of Applied Accounting Research,0967-5426,1758-8855,ACCOUNT,2
Journal of Contemporary Accounting and Economics,1815-5669,2352-3298,ACCOUNT,2
Journal of Forensic Accounting Research,,2380-2138,ACCOUNT,2
Journal of International Accounting Research,1542-6297,1558-8025,ACCOUNT,2
Journal of International Financial Management and Accounting,0954-1314,1467-646X,ACCOUNT,2
Journal of Management Accounting Research,1049-2127,1558-8033,ACCOUNT,2
Journal of Management Control,2191-4761,2191-477X,ACCOUNT,2
"Journal of Public Budgeting, Accounting and Financial Management",1096-3367,1945-1814,ACCOUNT,2
Journal of Tax Administration,2059-190X,2059-190X,ACCOUNT,2
Managerial Auditing Journal,0268-6902,1758-7735,ACCOUNT,2
Qualitative Research in Accounting and Management,1176-6093,1758-7654,ACCOUNT,2
"Sustainability Accounting, Management and Policy Journal",2040-8021,2040-803X,ACCOUNT,2
"Accounting, Finance & Governance Review ",,2737-7482,ACCOUNT,1
Advances in Environmental Accounting and Management,1479-3598,,ACCOUNT,1
Advances in Public Interest Accounting,1041-7060,,ACCOUNT,1
"African Journal of Accounting, Auditing and Finance",2046-8083,2046-8091,ACCOUNT,1
Asian Journal of Accounting Research,2459-9700,2443-4175,ACCOUNT,1
ATA Journal of Legal Tax Research,1543-866X,,ACCOUNT,1
"Australasian Accounting, Business and Finance Journal",1834-2000,1834-2019,ACCOUNT,1
China Journal of Accounting Studies,2169-7213,2169-7221,ACCOUNT,1
Comptabilite Controle Audit,1262-2788,,ACCOUNT,1
EDPACS,0736-6981,1936-1009,ACCOUNT,1
International Journal of Critical Accounting,1757-9848,1757-9856,ACCOUNT,1
Journal of Accounting and Management Information Systems,1583-4387,2559-6004,ACCOUNT,1
Journal of Accounting and Taxation,,2141-6664,ACCOUNT,1
Journal of Forensic and Investigative Accounting (previously Journal of Forensic Accounting),,2165-3755,ACCOUNT,1
Journal of Governmental & Non-Profit Accounting,,2155-3815 ,ACCOUNT,1
Journal of Information Systems,0888-7985,1558-7959,ACCOUNT,1
Journal of Islamic Accounting and Business Research ,1759-0817‎,1759-0817‎,ACCOUNT,1
Management Accounting Frontiers,2209-038X,2209-0398,ACCOUNT,1
Meditari Accountancy Research,2049-372X,2049-3738,ACCOUNT,1
Pacific Accounting Review,0114-0582,2041-5494,ACCOUNT,1
Research on Professional Responsibility and Ethics in Accounting,1574-0765,,ACCOUNT,1
Revista Contabilidade & Finanças,,1808-057X,ACCOUNT,1
Revista de Contabilidad-Spanish Accounting Review,1138-4891,1988-4672,ACCOUNT,1
Revista Espanola de Financiacion y Contabilidad,0210-2412,2332-0753,ACCOUNT,1
Social and Environmental Accountability Journal,0969-160X,2156-2245,ACCOUNT,1
South African Journal of Accounting Research,1029-1954,2376-3981,ACCOUNT,1
World Tax Journal,1878-4917,2352-9237,ACCOUNT,1
Business History,0007-6791,1743-7938,BUS HIST & ECON HIST,4
Business History Review,0007-6805,2044-768X,BUS HIST & ECON HIST,4
Economic History Review,0013-0117,1468-0289,BUS HIST & ECON HIST,4
Enterprise and Society,1467-2227,1467-2235,BUS HIST & ECON HIST,3
European Review of Economic History,1361-4916,1474-0044,BUS HIST & ECON HIST,3
Explorations in Economic History,0014-4983,1090-2457,BUS HIST & ECON HIST,3
Journal of Economic History,0022-0507,1471-6372,BUS HIST & ECON HIST,3
Accounting Historians Journal,0148-4184,2327-4468,BUS HIST & ECON HIST,2
Accounting History,1032-3732,1749-3374,BUS HIST & ECON HIST,2
Accounting History Review,2155-2851,2155-286X,BUS HIST & ECON HIST,2
Australian Economic History Review,0004-8992,1467-8446,BUS HIST & ECON HIST,2
Journal of Informetrics,1751-1577,1875-5879,INFO MAN,1
Journal of Internet Commerce,1533-2861,1533-287X,INFO MAN,1
Journal of Organizational and End User Computing,1546-2234,1546-5012,INFO MAN,1
Journal of Organizational Computing and Electronic Commerce,1091-9392,1532-7744,INFO MAN,1
Journal of Systems and Information Technology,1328-7265,1758-8847,INFO MAN,1
Journal of Theoretical and Applied Electronic Commerce Research,0718-1876,0718-1876,INFO MAN,1
Knowledge Management Research and Practice,1477-8238,1477-8246,INFO MAN,1
Library Hi Tech (LHT),0737-8831,0737-8831,INFO MAN,1
Online Information Review,1468-4527,1468-4535,INFO MAN,1
Online Journal of Applied Knowledge Management,,2325-4688,INFO MAN,1
Software Impacts,,2665-9638,INFO MAN,1
South African Journal of Information Management,2078-1865,1560-683X,INFO MAN,1
The Bottom Line,0888-045X,0888-045X,INFO MAN,1
Research Policy,0048-7333,1873-7625,INNOV,4*
Journal of Product Innovation Management,0737-6782,1540-5885,INNOV,4
Industry and Innovation,1366-2716,1469-8390,INNOV,3
Journal of Technology Transfer,0892-9912,1573-7047,INNOV,3
R and D Management,0033-6807,1467-9310,INNOV,3
Technological Forecasting and Social Change,0040-1625,1873-5509,INNOV,3
Technovation,0166-4972,1879-2383,INNOV,3
Creativity and Innovation Management,0963-1690,1467-8691,INNOV,2
Innovation: Organization & Management,1447-9338,2204-0226,INNOV,2
International Journal of Innovation Management,1363-9196,1757-5877,INNOV,2
Journal of Engineering and Technology Management - JET-M,0923-4748,1879-1719,INNOV,2
Journal of High Technology Management Research,1047-8310,1879-1638,INNOV,2
Journal of Responsible Innovation,2329-9460,2329-9037,INNOV,2
Prometheus,0810-9028,1470-1030,INNOV,2
Research Technology Management,0895-6308,1930-0166,INNOV,2
Science and Technology Studies,2243-4690,2243-4690,INNOV,2
Science Technology and Human Values,0162-2439,1552-8251,INNOV,2
Scientometrics,0138-9130,1588-2861,INNOV,2
Social Studies of Science,0306-3127,1460-3659,INNOV,2
Structural Change and Economic Dynamics,0954-349X,1873-6017,INNOV,2
Annals of Science and Technology Policy,2475-1820,2475-1812,INNOV,1
Asian Journal of Technology Innovation,1976-1597,2158-6721,INNOV,1
European Journal of Innovation Management,1460-1060,1758-7115,INNOV,1
International Journal of Business Innovation and Research,1751-0252,1751-0260,INNOV,1
International Journal of Entrepreneurship and Innovation Management,1368-275X,1741-5098,INNOV,1
International Journal of Foresight and Innovation Policy,1740-2816,1740-2824,INNOV,1
International Journal of Innovation and Sustainable Development,1740-8822,1740-8830,INNOV,1
International Journal of Innovation and Technology Management,0219-8770,1793-6950,INNOV,1
International Journal of Innovation Science,1757-2223,1757-2231,INNOV,1
International Journal of Product Development,1477-9056,1741-8178,INNOV,1
"International Journal of Technological Learning, Innovation and Development",1753-1942,1753-1950,INNOV,1
International Journal of Technology and Globalisation,1476-5667,1741-8194,INNOV,1
International Journal of Technology Intelligence and Planning,1740-2832,1740-2840,INNOV,1
International Journal of Technology Management and Sustainable Development,1474-2748,2040-0551,INNOV,1
International Journal of Technology Transfer and Commercialisation,1470-6075,1741-5284,INNOV,1
"International Journal of Technology, Policy and Management",1468-4322,1741-5292,INNOV,1
International Journal of the Digital Human,2046-3375,2046-3383,INNOV,1
Journal of Innovation and Knowledge,2530-7614,2444-569X,INNOV,1
Journal of Innovation Economics & Management,,2032-5355,INNOV,1
Journal of Innovation Management (JIM),,2183-0606,INNOV,1
Journal of Science and Technology Policy Management,2053-4620,2053-4639,INNOV,1
Journal of the Knowledge Economy,1868-7865,1868-7873,INNOV,1
Technology Innovation Management Review,,1927-0321,INNOV,1
Academy of Management Learning and Education,1537-260X,1944-9585,MDEV&EDU,4*
Management Learning,1350-5076,1461-7307,MDEV&EDU,3
Studies in Higher Education,0307-5079,1470-174X,MDEV&EDU,3
Accounting Education,0963-9284,1468-4489,MDEV&EDU,2
Advances in Developing Human Resources,1523-4223,1552-3055,MDEV&EDU,2
Assessment and Evaluation in Higher Education,0260-2938,1469-297X,MDEV&EDU,2
British Educational Research Journal,0141-1926,1469-3518,MDEV&EDU,2
British Journal of Guidance and Counselling,0306-9885,1469-3534,MDEV&EDU,2
European Journal of Higher Education,2156-8235,2156-8243,MDEV&EDU,2
Higher Education,0018-1560,1573-174X,MDEV&EDU,2
Higher Education Policy,0952-8733,1740-3863,MDEV&EDU,2
Higher Education Quarterly,0951-5224,0263-9769,MDEV&EDU,2
INFORMS Transactions on Education,,1532-0545,MDEV&EDU,2
Innovations in Education and Teaching International,1470-3297,1470-3300,MDEV&EDU,2
Issues in Accounting Education,0739-3172,1558-7983,MDEV&EDU,2
Journal of Accounting Education,0748-5751,1873-1996,MDEV&EDU,2
Journal of Education and Work,1363-9080,1469-9435,MDEV&EDU,2
Journal of Education Policy,0268-0939,1464-5106,MDEV&EDU,2
Journal of Higher Education,0022-1546,1538-4640,MDEV&EDU,2
Journal of International Business Education,1649-4946,2044-4575,MDEV&EDU,2
Journal of Management Education,1052-5629,1552-6658,MDEV&EDU,2
Journal of Marketing Education,0273-4753,1552-6550,MDEV&EDU,2
Management Teaching Review,2379-2981,2379-2981,MDEV&EDU,2
Teaching in Higher Education,1356-2517,1470-1294,MDEV&EDU,2
Action Learning: Research and Practice,1476-7333,1476-7341,MDEV&EDU,1
Active Learning in Higher Education,1469-7874,1741-2625,MDEV&EDU,1
Advances in Accounting Education: Teaching and Curriculum Innovations,1085-4622,,MDEV&EDU,1
Coaching,1752-1882,1752-1890,MDEV&EDU,1
Decision Sciences Journal of Innovative Education,1540-4595,1540-4609,MDEV&EDU,1
Education and Training,0040-0912,1758-6127,MDEV&EDU,1
Electronic Journal of e-Learning,,1479-4403,MDEV&EDU,1
European Journal of Training and Development,2046-9012,2046-9020,MDEV&EDU,1
"Higher Education, Skills and Work-based Learning",2042-3896,2042-390X,MDEV&EDU,1
Industry and Higher Education,0950-4222,2043-6858,MDEV&EDU,1
International Journal of Evidence Based Coaching and Mentoring,1741-8305,1741-8305,MDEV&EDU,1
International Journal of Innovation and Learning,1471-8197,1741-8089,MDEV&EDU,1
International Journal of Knowledge and Learning,1741-1009,1741-1017,MDEV&EDU,1
International Journal of Learning and Change,1740-2875,1740-2883,MDEV&EDU,1
International Journal of Management Development,1752-8240,1752-850X,MDEV&EDU,1
International Journal of Management Education,1472-8117,2352-3565,MDEV&EDU,1
International Journal of Teaching and Case Studies ,1749-9151,1749-916X,MDEV&EDU,1
Journal for Advancement of Marketing Education,2326-3296,1537-5137,MDEV&EDU,1
Journal of Advertising Education,1098-0482,2516-1873,MDEV&EDU,1
Journal of Business Ethics Education,1649-5195,2044-4559,MDEV&EDU,1
Journal of Educational Administration,0957-8234,1758-7395,MDEV&EDU,1
Journal of Further and Higher Education,0309-877X,1469-9486,MDEV&EDU,1
Journal of Higher Education Policy and Management,1360-080X,1469-9508,MDEV&EDU,1
Journal of International Education in Business,2046-469X,1836-3261,MDEV&EDU,1
Journal of Management Development,0262-1711,1758-7492,MDEV&EDU,1
Journal of Organizational Behavior Education,1649-7627,2047-9999,MDEV&EDU,1
Journal of Vocational Education and Training,1363-6820,1747-5090,MDEV&EDU,1
Journal of Workplace Learning,1366-5626,1758-7859,MDEV&EDU,1
Marketing Education Review,1052-8008,2153-9987,MDEV&EDU,1
Operations Management Education Review,1649-7082,2044-4567,MDEV&EDU,1
Quality Assurance in Education,0968-4883,1758-7662,MDEV&EDU,1
Tertiary Education and Management,1358-3883,1573-1936,MDEV&EDU,1
The Journal of Research in Innovative Teaching & Learning,2397-7604,2397-7604,MDEV&EDU,1
Journal of Consumer Psychology,1057-7408,1532-7663,MKT,4*
Journal of Consumer Research,0093-5301,1537-5277,MKT,4*
Journal of Marketing,0022-2429,1547-7185,MKT,4*
Journal of Marketing Research,0022-2437,1547-7193,MKT,4*
Journal of the Academy of Marketing Science,0092-0703,1552-7824,MKT,4*
Marketing Science,0732-2399,1526-548X,MKT,4*
International Journal of Research in Marketing,0167-8116,1873-8001,MKT,4
Journal of Retailing,0022-4359,1873-3271,MKT,4
European Journal of Marketing,0309-0566,1758-7123,MKT,3
Industrial Marketing Management,0019-8501,1873-2062,MKT,3
International Marketing Review,0265-1335,1758-6763,MKT,3
Journal of Advertising,0091-3367,1557-7805,MKT,3
Journal of Advertising Research,0021-8499,1740-1909,MKT,3
Journal of Interactive Marketing,1094-9968,1520-6653,MKT,3
Journal of International Marketing,1069-031X,1547-7215,MKT,3
Journal of Public Policy and Marketing,0743-9156,1547-7207,MKT,3
Marketing Letters,0923-0645,1573-059X,MKT,3
Marketing Theory,1470-5931,1741-301X,MKT,3
Psychology and Marketing,0742-6046,1520-6793,MKT,3
Quantitative Marketing and Economics,1570-7156,1573-711X,MKT,3
Academy of Marketing Science Review,1869-814X,1869-8182,MKT,2
Advances in Consumer Research,0098-9258,,MKT,2
Consumption Markets and Culture,1025-3866,1477-223X,MKT,2
Electronic Markets,1019-6781,1422-8890,MKT,2
International Journal of Advertising,0265-0487,1759-3948,MKT,2
International Journal of Consumer Studies,1470-6423,1470-6431,MKT,2
International Journal of Market Research,1470-7853,2515-2173,MKT,2
International Journal of Retail and Distribution Management,0959-0552,1758-6690,MKT,2
Journal of Brand Management,1350-231X,1479-1803,MKT,2
Journal of Business and Industrial Marketing,0885-8624,2052-1189,MKT,2
Journal of Consumer Behaviour,1472-0817,1479-1838,MKT,2
Journal of Macromarketing,0276-1467,1552-6534,MKT,2
Journal of Marketing Management,0267-257X,1472-1376,MKT,2
Journal of Personal Selling and Sales Management,0885-3134,1557-7813,MKT,2
Journal of Retailing and Consumer Services,0969-6989,1873-1384,MKT,2
Journal of Services Marketing,0887-6045,0887-6045,MKT,2
Journal of Strategic Marketing,0965-254X,1466-4488,MKT,2
Journal of the Association for Consumer Research,2378-1815,2378-1823,MKT,2
Qualitative Market Research,1352-2752,1758-7646,MKT,2
Asia Pacific Journal of Marketing and Logistics,1355-5855,1758-4248,MKT,1
Australasian Marketing Journal,1441-3582,1839-3349,MKT,1
Corporate Communications,1356-3289,1758-6046,MKT,1
Corporate Reputation Review,1363-3589,1479-1889,MKT,1
Health Marketing Quarterly,0735-9683,1545-0864,MKT,1
International Journal of Bank Marketing,0265-2323,1758-5937,MKT,1
International Journal of Internet Marketing and Advertising,1477-5212,1741-8100,MKT,1
International Journal of Pharmaceutical and Healthcare Marketing,1750-6123,1750-6131,MKT,1
International Journal of Technology Marketing,1741-878X,1741-8798,MKT,1
"International Review of Retail, Distribution and Consumer Research",0959-3969,1466-4402,MKT,1
International Review on Public and Non-Profit Marketing,,1865-1992,MKT,1
Journal of Business-to-Business Marketing,1051-712X,1547-0628,MKT,1
Journal of Communication Management,1363-254X,1478-0852,MKT,1
Journal of Consumer Affairs,0022-0078,1745-6606,MKT,1
Journal of Consumer Marketing,0736-3761,2052-1200,MKT,1
Journal of Current Issues and Research in Advertising,1064-1734,2164-7313,MKT,1
Journal of Fashion Marketing and Management,1361-2026,1758-7433,MKT,1
Journal of Financial Services Marketing,1363-0539,1479-1846,MKT,1
Journal of Global Fashion Marketing,2093-2685,2325-4483,MKT,1
Journal of Global Marketing,0891-1762,1528-6975,MKT,1
Journal of Interactive Advertising,,1525-2019,MKT,1
Journal of International Consumer Marketing,0896-1530,1528-7068,MKT,1
Journal of Marketing Analytics,2050-3326,2050-3318,MKT,1
Journal of Marketing Communications,1352-7266,1466-4445,MKT,1
Journal of Marketing for Higher Education,0884-1241,1540-7144,MKT,1
Journal of Marketing Theory and Practice,1069-6679,1944-7175,MKT,1
Journal of Non-Profit and Public Sector Marketing,1049-5142,1540-6997,MKT,1
Journal of Philanthropy and Marketing,,2691-1361,MKT,1
Journal of Product and Brand Management,1061-0421,2054-1643,MKT,1
Journal of Relationship Marketing,1533-2667,1533-2675,MKT,1
Journal of Research in Interactive Marketing,2040-7122,2040-7130,MKT,1
Journal of Social Marketing,2042-6763,2042-6771,MKT,1
Marketing Intelligence and Planning,0263-4503,1758-8049,MKT,1
Recherche et Applications en Marketing ,2051-5707,2051-5707,MKT,1
Review of Marketing Science,,1546-5616,MKT,1
Services Marketing Quarterly,1533-2969,1533-2977,MKT,1
Social Marketing Quarterly,1524-5004,1539-4093,MKT,1
Spanish Journal of Marketing - ESIC,2444-9695,2444-9709,MKT,1
Young Consumers,1747-3616,1758-7212,MKT,1
Journal of Operations Management,0272-6963,1873-1317,OPS&TECH,4*
International Journal of Operations and Production Management,0144-3577,1758-6593,OPS&TECH,4
Journal of Supply Chain Management,1523-2409,1745-493X,OPS&TECH,4
Production and Operations Management,1059-1478,1937-5956,OPS&TECH,4
Computers in Industry,0166-3615,1872-6194,OPS&TECH,3
IEEE Transactions on Engineering Management,0018-9391,1558-0040,OPS&TECH,3
International Journal of Production Economics,0925-5273,1873-7579,OPS&TECH,3
International Journal of Production Research,0020-7543,1366-588X,OPS&TECH,3
Journal of Business Logistics,0735-3766,2158-1592,OPS&TECH,3
Journal of Purchasing and Supply Management,1478-4092,1873-6505,OPS&TECH,3
Manufacturing and Service Operations Management,1523-4614,1526-5498,OPS&TECH,3
Production Planning and Control,0953-7287,1366-5871,OPS&TECH,3
Supply Chain Management,1359-8546,1758-6852,OPS&TECH,3
Business Process Management Journal,1463-7154,1758-4116,OPS&TECH,2
Computers and Industrial Engineering,0360-8352,1879-0550,OPS&TECH,2
International Journal of Computer Integrated Manufacturing,0951-192X,1362-3052,OPS&TECH,2
International Journal of Physical Distribution and Logistics Management,0960-0035,1758-664X,OPS&TECH,2
International Journal of Project Management,0263-7863,1873-4634,OPS&TECH,2
International Journal of Quality and Reliability Management,0265-671X,0265-671X,OPS&TECH,2
International Journal of Technology Management,0267-5730,1741-5276,OPS&TECH,2
Journal of Construction Engineering and Management - ASCE,0733-9364,1943-7862,OPS&TECH,2
Total Quality Management and Business Excellence,1478-3363,1478-3371,OPS&TECH,2
Benchmarking,1463-5771,1463-5771,OPS&TECH,1
Concurrent Engineering Research and Applications,1063-293X,1531-2003,OPS&TECH,1
Flexible Services and Manufacturing Journal,1936-6582,1936-6590,OPS&TECH,1
"Foundations and Trends in Technology, Information and Operations Management",1571-9545,,OPS&TECH,1
